 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
689,1,0,300740.31,Culiacan,2017-04-27,2025-09-02,2,23,20,"$284,942",$205,"$4,093",90.61%,"$320,000","$320,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
690,2,0,154221.35,Culiacan,2017-06-24,2025-09-03,1,10,10,"$157,826",$165,"$1,592",0.3108466667,"$450,000","$500,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
691,3,0,256199.68,Culiacan,2017-07-14,2025-09-03,1,21,17,"$225,552",$86,"$1,465",0.8217033333,"$300,000","$300,000",Autorizado,Platino,5,3,4,534,💎 Ancla de Negocio
692,4,0,321599.81,Culiacan,2017-07-23,2025-09-03,1,25,21,"$350,455",$161,"$3,437",74.62%,"$390,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
693,5,0,138992.37,Culiacan,2017-08-03,2025-09-02,2,11,13,"$134,172",$42,$551,0.6850285714,"$175,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
694,6,0,608130.07,Culiacan,2017-06-23,2025-09-03,1,42,37,"$535,657",$157,"$5,742",96.42%,"$650,000","$650,000",Autorizado,Titanio,5,5,5,555,💎 Ancla de Negocio
695,7,0,220953.77,Culiacan,2017-06-23,2025-09-02,2,17,13,"$175,711",$203,"$2,604",0.767751469,"$286,934","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
696,8,0,170633,Culiacan,2017-06-26,2025-09-02,2,15,11,"$158,817",$113,"$1,242",0.809155,"$200,000","$300,000",Autorizado,Platino,4,3,2,432,📈​ Crecer Monto
697,9,0,194790.33,Culiacan,2017-05-19,2025-09-01,3,19,14,"$180,707",$127,"$1,773",0.7238875,"$240,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
699,11,0,38439,Culiacan,2017-07-04,2025-09-02,2,4,5,"$56,590",$155,$773,9.21%,"$450,000","$450,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
700,12,0,710841.88,Culiacan,2017-06-06,2025-09-03,1,51,48,"$735,248",$193,"$9,256",94.54%,"$744,773","$744,773",Autorizado,Titanio,5,5,5,555,💎 Ancla de Negocio
704,16,0,216754,Culiacan,2017-06-12,2025-08-22,13,17,15,"$204,950",$253,"$3,749",0.67735625,"$320,000","$320,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
706,18,0,398761.63,Culiacan,2017-05-05,2025-09-03,1,27,26,"$394,743",$180,"$4,727",88.77%,"$420,000","$420,000",Autorizado,Titanio,5,3,3,533,💎 Ancla de Negocio
707,19,0,275707.76,Culiacan,2017-07-22,2025-09-03,1,21,19,"$283,234",$156,"$2,934",91.05%,"$281,520","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
710,22,0,114505.24,Culiacan,2017-07-25,2025-09-01,3,6,6,"$126,104",$298,"$1,739",0.5990826754,"$180,743","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
711,23,0,125951,Culiacan,2017-06-13,2025-08-23,12,5,6,"$127,466",$276,"$1,705",0.54815,"$200,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
713,25,0,419131,Culiacan,2017-05-24,2025-09-02,2,29,26,"$414,913",$204,"$5,342",88.01%,"$420,000","$420,000",Autorizado,Titanio,4,3,3,433,💎 Ancla de Negocio
714,26,0,97687,Culiacan,2017-07-29,2025-08-25,10,12,7,"$78,160",$139,$953,72.36%,"$135,000","$300,000",Autorizado,Plata,4,3,3,433,📈​ Crecer Monto
715,27,0,283456.23,Culiacan,2017-07-27,2025-09-02,2,26,22,"$270,576",$141,"$3,104",85.41%,"$330,696","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
716,28,0,171976.88,Culiacan,2017-05-05,2025-09-03,1,14,11,"$183,511",$186,"$2,019",0.6156892857,"$280,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
717,29,0,7379.45,Culiacan,2017-07-22,2025-05-11,116,0,3,"$44,698",$113,$300,0.03029090909,"$220,000","$320,000",Autorizado,Bronce,1,1,1,111,🧊 Hibernando
718,30,0,322850.91,Culiacan,2017-07-05,2025-09-03,1,21,20,"$301,333",$188,"$3,720",83.63%,"$350,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
720,32,0,197624.87,Culiacan,2017-07-24,2025-09-01,3,17,12,"$167,963",$231,"$2,655",0.7755252101,"$238,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
721,33,0,92501,Culiacan,2017-08-06,2025-08-24,11,8,5,"$88,513",$162,$865,51.43%,"$179,872","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
722,34,0,176461.85,Culiacan,2017-11-09,2025-08-25,10,11,10,"$173,936",$274,"$2,881",0.6700693878,"$245,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
723,35,0,312006.64,Culiacan,2017-05-03,2025-09-03,1,26,26,"$316,560",$150,"$3,865",93.72%,"$330,363","$330,363",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
724,36,0,136577.67,Culiacan,2017-03-07,2025-09-03,1,5,9,"$173,816",$192,"$1,732",0.5304366667,"$300,000","$300,000",Autorizado,Platino,5,1,1,511,🎟️​ Crecer frecuencia
727,39,0,144653,Culiacan,2017-05-24,2025-09-01,3,8,8,"$142,219",$270,"$2,208",0.4635571429,"$280,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
729,41,0,172254.57,Culiacan,2017-05-29,2025-08-23,12,9,12,"$177,157",$208,"$2,533",0.6153653846,"$260,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
730,42,0,85195,Culiacan,2017-07-25,2025-08-30,5,8,9,"$55,822",$264,"$2,463",74.08%,"$115,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
731,43,0,168957,Culiacan,2017-08-17,2025-09-02,2,8,11,"$174,307",$149,"$1,635",0.48799,"$300,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
732,44,0,246568.97,Culiacan,2017-08-11,2025-09-02,2,17,16,"$264,537",$141,"$2,277",76.07%,"$300,000","$400,000",Autorizado,Titanio,4,2,2,422,🎟️​ Crecer frecuencia
733,45,0,67242,Culiacan,2017-07-03,2025-09-02,2,2,3,"$52,470",$358,"$1,074",49.07%,"$135,000","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
735,47,0,313645.12,Culiacan,2017-06-05,2025-09-01,3,26,20,"$301,219",$207,"$4,178",85.19%,"$335,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
738,50,0,305973.9,Culiacan,2017-06-22,2025-09-02,2,19,15,"$287,448",$262,"$4,016",84.29%,"$330,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
740,52,0,300730,Culiacan,2017-06-23,2025-09-02,2,19,18,"$298,349",$196,"$3,493",82.09%,"$330,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
741,53,0,117504,Culiacan,2017-06-05,2025-09-03,1,12,8,"$105,388",$125,$983,0.4641090909,"$220,000","$300,000",Autorizado,Oro,5,2,3,523,🎟️​ Crecer frecuencia
743,55,0,289312.18,Culiacan,2017-07-23,2025-09-02,2,20,20,"$289,698",$168,"$3,366",86.07%,"$300,382","$300,382",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
744,56,0,258708.05,Culiacan,2017-06-20,2025-09-03,1,8,15,"$273,038",$244,"$3,654",65.45%,"$352,908","$400,000",Autorizado,Titanio,5,1,2,512,💎 Ancla de Negocio
745,57,0,244328.68,Culiacan,2017-07-05,2025-09-03,1,16,15,"$217,198",$243,"$3,571",0.771062069,"$290,000","$300,000",Autorizado,Platino,5,3,4,534,🔥 Mantener Racha
746,58,0,34684,Culiacan,2017-06-29,2025-08-24,11,4,3,"$29,002",$186,$464,0.2053548387,"$155,000","$300,000",Autorizado,Bronce,4,2,2,422,🎟️​ Crecer frecuencia
747,59,0,87983.08,Culiacan,2017-05-31,2025-09-03,1,6,6,"$88,375",$165,$932,52.41%,"$155,000","$300,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
755,67,0,50821.79,Culiacan,2017-07-31,2025-08-22,13,3,5,"$70,175",$81,$433,37.11%,"$117,603","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
756,68,0,149260,Culiacan,2017-06-03,2025-08-30,5,15,9,"$132,902",$220,"$1,874",0.4975333333,"$300,000","$300,000",Autorizado,Oro,4,3,4,434,🎟️​ Crecer frecuencia
757,69,0,111247,Culiacan,2017-08-01,2025-09-03,1,7,6,"$118,622",$264,"$1,669",0.4497541667,"$240,000","$300,000",Autorizado,Oro,5,1,3,513,🎟️​ Crecer frecuencia
758,70,0,122576.23,Culiacan,2017-06-29,2025-08-28,7,5,7,"$112,218",$229,"$1,682",0.4419176955,"$243,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
759,71,0,346068,Culiacan,2017-05-22,2025-09-02,2,24,23,"$356,858",$223,"$5,200",91.69%,"$400,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
761,73,0,256589.06,Culiacan,2017-07-30,2025-09-03,1,15,17,"$274,747",$168,"$2,828",67.64%,"$330,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
763,75,0,154071.39,Culiacan,2017-06-03,2025-09-02,2,8,8,"$170,120",$339,"$2,600",0.4687533333,"$300,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
764,76,0,127458.81,Culiacan,2017-08-02,2025-09-03,1,13,9,"$161,471",$163,"$1,415",0.5471659574,"$235,000","$300,000",Autorizado,Platino,5,2,1,521,🎟️​ Crecer frecuencia
767,79,0,118277.51,Culiacan,2017-07-04,2025-08-30,5,4,12,"$187,470",$186,"$2,174",0.32837,"$300,000","$300,000",Autorizado,Platino,4,1,1,411,🎟️​ Crecer frecuencia
770,82,0,147438,Culiacan,2017-05-22,2025-08-22,13,3,10,"$180,218",$226,"$2,295",0.41249,"$300,000","$300,000",Autorizado,Platino,4,1,2,412,🎟️​ Crecer frecuencia
772,84,0,247432.78,Culiacan,2017-06-03,2025-09-01,3,17,15,"$255,012",$246,"$3,654",75.51%,"$300,000","$300,000",Autorizado,Titanio,4,2,2,422,🎟️​ Crecer frecuencia
773,85,0,113547,Culiacan,2017-06-30,2025-09-02,2,8,7,"$98,427",$226,"$1,584",36.00%,"$295,000","$300,000",Autorizado,Plata,4,2,4,424,🔥 Mantener Racha
775,87,0,185503,Culiacan,2017-07-09,2025-09-01,3,10,10,"$203,144",$237,"$2,453",0.5590302372,"$290,834","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
784,96,0,84786.43,Culiacan,2017-05-22,2025-09-03,1,2,7,"$123,999",$185,"$1,202",0.351178744,"$207,000","$300,000",Autorizado,Oro,5,1,2,512,🎟️​ Crecer frecuencia
789,101,0,116900,Culiacan,2017-08-01,2025-09-01,3,11,8,"$139,440",$192,"$1,535",0.5074335815,"$200,509","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
791,103,0,150596.75,Culiacan,2017-06-27,2025-09-03,1,8,8,"$134,930",$240,"$1,798",0.6418790698,"$215,000","$300,000",Autorizado,Oro,5,2,4,524,🔥 Mantener Racha
794,106,0,8802,Culiacan,2017-05-26,2025-06-04,92,0,2,"$11,936",$197,$329,0.08371111111,"$90,000","$300,000",Autorizado,Inicial,1,1,1,111,🧊 Hibernando
795,107,0,16009.35,Culiacan,2017-07-19,2025-08-26,9,1,2,"$35,316",$251,$564,0.06117727273,"$220,000","$300,000",Autorizado,Bronce,4,1,1,411,🎟️​ Crecer frecuencia
799,111,0,306737.82,Culiacan,2017-06-14,2025-09-03,1,25,23,"$317,044",$134,"$3,044",99.91%,"$320,000","$320,000",Autorizado,Titanio,5,3,2,532,🏆 Candidata a Incremento
800,112,0,80262,Culiacan,2017-07-29,2025-09-02,2,10,5,"$66,200",$149,$795,30.03%,"$250,000","$300,000",Autorizado,Plata,4,3,3,433,📈​ Crecer Monto
802,114,0,86738,Culiacan,2017-08-24,2025-08-11,24,2,5,"$83,510",$153,$814,22.34%,"$320,000","$320,000",Autorizado,Plata,3,1,3,313,🥶Enfriándose
803,115,0,218391.72,Culiacan,2017-06-09,2025-09-03,1,18,13,"$204,168",$222,"$2,929",0.7215824561,"$285,000","$300,000",Autorizado,Platino,5,3,3,533,📈​ Crecer Monto
804,116,0,280546,Culiacan,2017-05-31,2025-09-03,1,16,16,"$285,446",$196,"$3,237",78.31%,"$320,000","$320,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
807,119,0,96777,Culiacan,2017-07-08,2025-09-02,2,2,5,"$90,304",$170,$848,44.27%,"$210,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
808,120,0,163144,Culiacan,2017-07-04,2025-08-28,7,9,9,"$204,899",$261,"$2,479",0.531090566,"$265,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
809,121,0,290917.95,Culiacan,2017-09-12,2025-09-03,1,18,19,"$294,858",$172,"$3,272",91.15%,"$300,000","$300,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
810,122,0,316988,Culiacan,2017-06-13,2025-09-02,2,17,21,"$290,130",$231,"$4,860",78.06%,"$360,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
811,123,0,102576,Culiacan,2017-06-29,2025-09-02,2,7,7,"$121,278",$190,"$1,302",0.4563155635,"$244,515","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
812,124,0,223018.9,Culiacan,2017-07-14,2025-09-02,2,20,11,"$181,287",$250,"$2,626",0.738593346,"$285,031","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
815,127,0,314691,Culiacan,2017-07-07,2025-09-01,3,18,19,"$300,360",$241,"$4,612",87.21%,"$330,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
816,128,0,11000,Culiacan,2017-07-24,2025-08-27,8,2,2,"$1,833",$197,$394,0.2625,"$40,000","$400,000",Autorizado,Inicial,4,1,2,412,🎟️​ Crecer frecuencia
818,130,0,93384.88,Culiacan,2017-07-01,2025-09-01,3,4,5,"$68,365",$298,"$1,388",28.56%,"$300,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
819,131,0,140172.01,Culiacan,2017-07-08,2025-09-01,3,9,9,"$152,136",$215,"$1,901",0.4732796296,"$270,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
820,132,0,276465,Culiacan,2017-08-15,2025-09-03,1,19,13,"$255,529",$275,"$3,487",82.27%,"$320,000","$320,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
821,133,0,82316,Culiacan,2017-07-21,2025-08-30,5,8,7,"$86,465",$119,$776,42.38%,"$165,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
823,135,0,287450.67,Culiacan,2017-08-17,2025-09-02,2,18,23,"$299,394",$138,"$3,198",70.20%,"$400,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
825,137,0,308290,Culiacan,2017-06-29,2025-09-02,2,23,20,"$284,268",$248,"$4,956",83.15%,"$390,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
826,138,0,77558,Culiacan,2017-07-15,2025-08-31,4,4,3,"$71,398",$265,$795,37.13%,"$184,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
827,139,0,27244,Culiacan,2017-07-08,2025-08-19,16,1,2,"$46,287",$187,$300,0.089216,"$250,000","$300,000",Autorizado,Bronce,3,1,2,312,🥶Enfriándose
828,140,0,175923,Culiacan,2017-08-18,2025-09-02,2,9,12,"$186,977",$155,"$1,889",0.5837326007,"$273,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
830,142,0,199971.52,Culiacan,2017-07-05,2025-09-03,1,12,10,"$189,094",$301,"$2,964",0.7122777778,"$270,000","$300,000",Autorizado,Platino,5,2,3,523,🎟️​ Crecer frecuencia
831,143,0,144421,Culiacan,2017-08-03,2025-09-02,2,5,6,"$187,933",$363,"$2,240",0.5057127273,"$275,000","$300,000",Autorizado,Platino,4,1,2,412,🎟️​ Crecer frecuencia
832,144,0,319717,Culiacan,2017-07-10,2025-09-02,2,20,18,"$316,324",$238,"$4,243",89.87%,"$320,000","$320,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
833,145,0,20765.18,Culiacan,2017-07-15,2025-08-18,17,2,3,"$27,695",$166,$464,0.05622666667,"$300,000","$300,000",Autorizado,Bronce,3,1,2,312,🥶Enfriándose
834,146,0,169178,Culiacan,2017-07-22,2025-09-03,1,14,13,"$165,187",$137,"$1,759",0.6364230769,"$234,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
835,147,0,85117.53,Culiacan,2017-09-05,2025-08-28,7,4,5,"$73,752",$156,$752,60.01%,"$126,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
836,148,0,144691.24,Culiacan,2017-08-05,2025-08-29,6,15,9,"$124,492",$175,"$1,517",0.5746711111,"$225,000","$300,000",Autorizado,Oro,4,3,4,434,🎟️​ Crecer frecuencia
837,149,0,145721.8,Culiacan,2017-07-13,2025-08-25,10,9,10,"$130,765",$208,"$2,114",0.4813924528,"$265,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
838,150,0,114246,Culiacan,2017-08-25,2025-08-23,12,11,6,"$86,115",$67,$401,72.30%,"$135,000","$300,000",Autorizado,Plata,4,3,4,434,🎟️​ Crecer frecuencia
840,152,0,209522,Culiacan,2017-07-25,2025-09-03,1,6,12,"$218,645",$139,"$1,647",0.57730625,"$320,000","$320,000",Autorizado,Platino,5,1,3,513,🎟️​ Crecer frecuencia
841,153,0,58732.98,Culiacan,2017-07-17,2025-08-29,6,6,4,"$40,217",$132,$463,0.4437583333,"$120,000","$300,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
842,154,0,93303,Culiacan,2017-07-20,2025-09-02,2,0,6,"$132,822",$339,"$2,102",0.2966363636,"$275,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
843,155,0,55700,Culiacan,2017-07-26,2025-08-30,5,4,5,"$69,625",$122,$549,51.78%,"$90,000","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
844,156,0,198519.96,Culiacan,2017-08-02,2025-09-02,2,14,13,"$209,512",$231,"$3,083",0.55,"$320,000","$320,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
846,158,0,289684,Culiacan,2017-08-14,2025-09-03,1,29,17,"$231,645",$128,"$2,214",0.877568254,"$315,000","$400,000",Autorizado,Platino,5,4,5,545,💎 Ancla de Negocio
5732,5044,47,3499.87,Villahermosa,2021-10-16,2025-04-10,147,0,1,"$3,972",$226,$226,0.08749675,"$40,000","$40,000",Bloqueado,Inicial,1,1,1,111,🧊 Hibernando
849,161,0,237882.12,Culiacan,2017-07-29,2025-09-03,1,16,12,"$240,305",$206,"$2,508",0.72468,"$300,000","$300,000",Autorizado,Platino,5,3,4,534,🔥 Mantener Racha
850,162,0,54783,Culiacan,2017-08-16,2025-09-01,3,1,3,"$67,145",$206,$651,41.96%,"$125,000","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
853,165,0,274437.56,Culiacan,2017-08-16,2025-09-02,2,23,20,"$255,140",$87,"$1,778",73.42%,"$320,000","$320,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
854,166,0,239137.64,Culiacan,2017-07-31,2025-09-03,1,9,14,"$269,968",$267,"$3,830",64.27%,"$330,000","$400,000",Autorizado,Titanio,5,1,2,512,🎟️​ Crecer frecuencia
857,169,0,26721,Culiacan,2017-08-02,2025-08-22,13,3,2,"$22,122",$160,$256,0.1595442177,"$147,000","$300,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
861,173,0,600,Culiacan,2017-09-06,2025-09-02,2,0,1,"$4,000",$135,$135,0.12,"$50,000","$300,000",Autorizado,Inicial,4,1,1,411,🎟️​ Crecer frecuencia
862,174,0,151436,Culiacan,2017-08-07,2025-09-03,1,9,14,"$148,137",$61,$859,0.691664,"$250,000","$300,000",Autorizado,Oro,5,2,4,524,🔥 Mantener Racha
863,175,0,168652,Culiacan,2017-08-17,2025-08-25,10,7,8,"$171,306",$250,"$2,087",0.5537509434,"$265,000","$300,000",Autorizado,Platino,4,1,2,412,🎟️​ Crecer frecuencia
865,177,0,350257.36,Culiacan,2017-08-11,2025-09-03,1,29,24,"$344,153",$167,"$4,019",96.80%,"$360,000","$360,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
868,180,0,119286,Culiacan,2017-08-16,2025-08-31,4,9,5,"$101,739",$244,"$1,303",0.3750821429,"$280,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
869,181,0,172834,Culiacan,2017-08-09,2025-09-03,1,13,10,"$158,092",$199,"$1,991",0.8653368421,"$190,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
870,182,0,397742.72,Culiacan,2017-08-14,2025-09-03,1,25,26,"$392,439",$185,"$4,923",93.08%,"$400,000","$400,000",Autorizado,Titanio,5,3,3,533,💎 Ancla de Negocio
872,184,0,276369,Culiacan,2017-08-08,2025-09-03,1,22,18,"$260,839",$259,"$4,667",96.40%,"$330,261","$400,000",Autorizado,Titanio,5,3,2,532,🏆 Candidata a Incremento
874,186,0,267262.26,Culiacan,2017-08-09,2025-09-03,1,14,16,"$295,148",$283,"$4,578",81.06%,"$330,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
875,187,0,200007,Culiacan,2017-08-16,2025-09-03,1,15,13,"$193,258",$174,"$2,260",0.5970066667,"$300,000","$300,000",Autorizado,Platino,5,3,3,533,📈​ Crecer Monto
876,188,0,222760,Culiacan,2017-08-11,2025-08-26,9,18,15,"$192,339",$141,"$2,132",0.8568222222,"$225,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
878,190,0,162120,Culiacan,2017-08-11,2025-09-02,2,11,10,"$197,298",$239,"$2,390",0.4833689667,"$300,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
880,192,0,46623.7,Culiacan,2017-08-22,2025-08-31,4,5,4,"$54,190",$247,$988,29.89%,"$135,000","$300,000",Autorizado,Plata,4,2,2,422,🎟️​ Crecer frecuencia
881,193,0,242915.21,Culiacan,2017-08-13,2025-09-02,2,14,15,"$242,299",$141,"$2,070",0.7272091518,"$307,437","$307,437",Autorizado,Platino,4,2,4,424,🔥 Mantener Racha
882,194,0,26170,Culiacan,2017-08-12,2025-08-15,20,1,2,"$24,325",$213,$372,0.4361666667,"$60,000","$300,000",Autorizado,Bronce,3,1,2,312,🥶Enfriándose
883,195,0,101107,Culiacan,2017-08-12,2025-08-28,7,4,5,"$95,446",$315,"$1,472",47.52%,"$184,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
885,197,0,155048,Culiacan,2017-08-17,2025-08-20,15,13,10,"$143,012",$127,"$1,224",0.5582290749,"$227,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
888,200,0,314376,Culiacan,2017-08-23,2025-09-01,3,20,16,"$268,908",$212,"$3,422",68.85%,"$400,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
889,201,0,220072.83,Culiacan,2017-08-19,2025-08-29,6,14,12,"$194,586",$180,"$2,156",0.6260972802,"$305,756","$305,756",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
890,202,0,147207.16,Culiacan,2017-09-01,2025-09-01,3,13,10,"$145,247",$138,"$1,355",0.5541234043,"$235,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
892,204,0,256160.66,Culiacan,2017-08-23,2025-09-03,1,14,14,"$229,819",$278,"$3,852",0.7421625,"$320,000","$320,000",Autorizado,Platino,5,2,4,524,💎 Ancla de Negocio
893,205,0,47391,Culiacan,2017-08-23,2025-08-19,16,2,3,"$63,630",$324,$842,26.57%,"$150,000","$300,000",Autorizado,Plata,3,1,2,312,🥶Enfriándose
894,206,0,259220,Culiacan,2017-08-24,2025-09-03,1,23,18,"$240,916",$165,"$2,882",0.84073,"$300,000","$300,000",Autorizado,Platino,5,4,4,544,💎 Ancla de Negocio
895,207,0,86631,Culiacan,2017-09-19,2025-08-29,6,8,7,"$100,645",$112,$738,0.420538835,"$206,000","$300,000",Autorizado,Oro,4,2,2,422,🎟️​ Crecer frecuencia
896,208,0,2625,Culiacan,2017-08-25,2025-04-10,147,0,1,"$7,791",$470,$470,0.065625,"$40,000","$300,000",Autorizado,Inicial,1,1,1,111,🧊 Hibernando
897,209,0,31178.12,Culiacan,2017-08-25,2025-08-23,12,1,3,"$51,741",$161,$457,12.58%,"$200,000","$300,000",Autorizado,Plata,4,1,1,411,🎟️​ Crecer frecuencia
898,210,0,285416,Culiacan,2017-08-26,2025-09-03,1,22,19,"$253,796",$82,"$1,551",77.29%,"$330,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
900,212,0,302595.38,Culiacan,2017-08-27,2025-09-03,1,17,20,"$367,982",$256,"$5,203",73.79%,"$400,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
901,213,0,30100,Culiacan,2017-08-29,2025-08-24,11,3,2,"$30,088",$151,$301,0.2711711712,"$111,000","$300,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
902,214,0,324523,Culiacan,2017-08-27,2025-09-03,1,18,20,"$308,094",$172,"$3,490",90.01%,"$325,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
904,216,0,24075,Culiacan,2017-08-30,2025-08-29,6,3,2,"$17,312",$133,$266,0.1932608696,"$115,000","$300,000",Autorizado,Inicial,4,2,3,423,🎟️​ Crecer frecuencia
906,218,0,317563.21,Culiacan,2017-08-30,2025-09-03,1,29,26,"$321,257",$102,"$2,621",81.13%,"$390,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
907,219,0,5208,Culiacan,2017-09-21,2025-09-03,1,0,1,"$5,581",$312,$312,0.08081927711,"$83,000","$300,000",Autorizado,Inicial,5,1,1,511,🎟️​ Crecer frecuencia
908,220,0,106272,Culiacan,2017-09-04,2025-09-02,2,5,6,"$116,135",$271,"$1,714",0.6780705882,"$170,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
909,221,0,184180.18,Culiacan,2017-09-02,2025-09-02,2,13,11,"$168,155",$183,"$1,950",0.6301333333,"$285,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
