 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
10929,10166,0,42799.65,La Paz,2023-11-22,2025-08-18,17,1,2,"$37,450",$149,$272,0.45375,"$80,000","$400,000",Autorizado,Bronce,3,1,3,313,🥶Enfriándose
10930,10167,0,43025,Monclova,2023-12-02,2025-09-03,1,4,3,"$39,625",$166,$442,0.8138095238,"$52,500","$100,000",Autorizado,Bronce,5,2,3,523,🎟️​ Crecer frecuencia
10931,10168,0,3424,La Paz,2023-11-22,2025-03-18,170,0,2,"$16,572",$441,$882,0.01834285714,"$140,000","$400,000",Autorizado,Inicial,1,1,1,111,🧊 Hibernando
10932,10169,0,8000,Monclova,2023-11-22,2025-07-16,50,0,3,"$10,492",$20,$52,0.3018867925,"$26,500","$100,000",Autorizado,Inicial,1,1,1,111,🫨 Reactivación
10933,10170,0,45725,Cordoba,2023-11-22,2025-08-22,13,6,4,"$32,491",$235,$861,0.7149818182,"$55,000","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10935,10172,0,80884,Acayucan,2023-11-23,2025-09-02,2,6,5,"$80,081",$487,"$2,599",77.20%,"$116,425","$160,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
10937,10174,0,58079.53,Patzcuaro,2023-11-23,2025-08-19,16,2,3,"$56,746",$564,"$1,785",67.92%,"$72,000","$100,000",Autorizado,Plata,3,1,2,312,🥶Enfriándose
10938,10175,0,48320,Cd Obregon,2023-11-22,2025-08-24,11,3,3,"$39,364",$793,"$2,380",0.8484466019,"$51,500","$100,000",Autorizado,Bronce,4,1,3,413,🎟️​ Crecer frecuencia
10939,10176,0,56953,Guamuchil,2023-11-29,2025-09-02,2,4,3,"$33,507",$194,$622,0.9279538462,"$65,000","$400,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10940,10177,0,93739.54,Patzcuaro,2023-11-23,2025-08-25,10,6,6,"$71,616",$378,"$2,141",65.21%,"$125,000","$250,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
10941,10178,0,45473.92,Guasave,2023-11-24,2025-08-21,14,3,3,"$62,460",$169,$562,33.65%,"$110,000","$400,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
10943,10180,0,76583.35,Los Mochis,2023-11-25,2025-08-22,13,8,4,"$45,869",$287,"$1,242",0.9615584416,"$77,000","$100,000",Autorizado,Bronce,4,3,4,434,🏆 Candidata a Incremento
10944,10181,0,91872,Celaya,2023-11-23,2025-08-18,17,6,5,"$89,668",$259,"$1,340",66.19%,"$115,000","$250,000",Autorizado,Plata,3,2,3,323,🥶Enfriándose
10945,10182,0,155773.53,Torreon,2023-11-24,2025-08-30,5,13,8,"$133,484",$237,"$1,893",0.8063823529,"$170,000","$400,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
10946,10183,0,84906,Villahermosa,2023-11-23,2025-09-02,2,6,6,"$83,613",$493,"$2,794",99.91%,"$100,000","$100,000",Autorizado,Plata,4,2,3,423,🏆 Candidata a Incremento
